Stacje,Miejscowość (lokalizacja),Zakres średniej dziennej mocy dawki [nSv/h],Średnia [nSv/h],Daty
PMS,Krasiczyn,77-85,81,14.06.22-28.06.22
PMS,Krzywe,87-94,91,14.06.22-28.06.22
PMS,Legnica,77-81,79,14.06.22-28.06.22
PMS,Łódź,86-93,89,14.06.22-28.06.22
PMS,Lublin,99-102,100,14.06.22-28.06.22
PMS,Machnów Nowy,62-65,63,14.06.22-28.06.22
PMS,Olsztyn,54-60,55,14.06.22-28.06.22
PMS,Radom,53-57,56,14.06.22-28.06.22
PMS,Rzeszów,87-94,92,14.06.22-28.06.22
PMS,Sanok,85-94,90,14.06.22-28.06.22
PMS,Seimianówka,51-59,53,14.06.22-28.06.22
PMS,Siemiatycze,61-66,62,14.06.22-28.06.22
PMS,Stare Sioło,64-70,68,14.06.22-28.06.22
PMS,Suwałki,81-88,83,14.06.22-28.06.22
PMS,Szczecin,52-57,54,14.06.22-28.06.22
PMS,Tarnów,75-82,79,14.06.22-28.06.22
PMS,Toruń,48-58,50,14.06.22-28.06.22
PMS,Warszawa,87-94,89,14.06.22-28.06.22
PMS,Włodawa,56-61,58,14.06.22-28.06.22
PMS,Wólka Dobryńska,64-70,66,14.06.22-28.06.22
PMS,Wrocław,79-86,81,14.06.22-28.06.22
PMS,Zielona Góra,87-92,89,14.06.22-28.06.22
IMiGW,Gdynia,83-85,84,14.06.22-28.06.22
IMiGW,Gorzów,77-85,79,14.06.22-28.06.22
IMiGW,Legnica,85-116,101,14.06.22-28.06.22
IMiGW,Lesko,91-99,96,14.06.22-28.06.22
IMiGW,Mikołajki,79-87,81,14.06.22-28.06.22
IMiGW,Świnoujście,63-68,65,14.06.22-28.06.22
IMiGW,Warszawa,63-69,65,14.06.22-28.06.22
IMiGW,Włodawa,57-61,60,14.06.22-28.06.22
IMiGW,Zakopane,108-119,115,14.06.22-28.06.22
PMS,Babiki,84-87,86,23.08.22-06.09.22
PMS,Bartniki,80-92,83,23.08.22-06.09.22
PMS,Białystok,71-77,74,23.08.22-06.09.22
PMS,Bielsko-Biała,86-93,90,23.08.22-06.09.22
PMS,Chełm,56-60,58,23.08.22-06.09.22
PMS,Czerniczyn,89-92,91,23.08.22-06.09.22
PMS,Częstochowa,82-86,84,23.08.22-06.09.22
PMS,Gdynia,102-106,103,23.08.22-06.09.22
PMS,Gołdap,66-72,69,23.08.22-06.09.22
PMS,Kalisz,63-69,65,23.08.22-06.09.22
PMS,Katowice,82-103,86,23.08.22-06.09.22
PMS,Kielce,87-95,89,23.08.22-06.09.22
PMS,Koszalin,83-88,85,23.08.22-06.09.22
PMS,Kraków,115-121,116,23.08.22-06.09.22
PMS,Krasiczyn,84-89,87,23.08.22-06.09.22
PMS,Krzywe,90-94,92,23.08.22-06.09.22
PMS,Legnica,72-87,76,23.08.22-06.09.22
PMS,Łódź,86-93,89,23.08.22-06.09.22
PMS,Lublin,100-103,101,23.08.22-06.09.22
PMS,Machnów Nowy,62-66,64,23.08.22-06.09.22
PMS,Olsztyn,55-60,57,23.08.22-06.09.22
PMS,Opole,64-71,66,23.08.22-06.09.22
PMS,Radom,57-63,59,23.08.22-06.09.22
PMS,Rzeszów,93-97,95,23.08.22-06.09.22
PMS,Sanok,98-101,99,23.08.22-06.09.22
PMS,Seimianówka,53-56,54,23.08.22-06.09.22
PMS,Siemiatycze,62-64,63,23.08.22-06.09.22
PMS,Stare Sioło,66-72,70,23.08.22-06.09.22
PMS,Suwałki,86-93,88,23.08.22-06.09.22
